STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Final ,29-05-22,FALSE,FALSE,FALSE,Liverpool,Real Madrid,0,1,50%,50%,23,3,15,2,37%,63%,47%,2,53%,Anfield
 Semi-finals second leg ,05-05-22,FALSE,FALSE,FALSE,Real Madrid,Man City,3,1,44%,56%,14,15,5,10,47%,53%,49%,10,51%,Santiago Bernabeu
 Semi-finals second leg ,04-05-22,FALSE,FALSE,FALSE,Villarreal,Liverpool,2,3,44%,56%,6,15,2,5,49%,51%,49%,4,51%,El Madrigal
 Semi-finals first leg ,28-04-22,FALSE,FALSE,FALSE,Liverpool,Villarreal,2,0,74%,26%,19,1,5,0,41%,59%,50%,4,50%,Anfield
 Semi-finals first leg ,27-04-22,FALSE,FALSE,FALSE,Man City,Real Madrid,4,3,60%,40%,16,11,6,5,46%,54%,48%,5,52%,Etihad
 Quarter-finals second leg ,14-04-22,FALSE,FALSE,FALSE,Atlético de Madrid,Man City,0,0,39%,61%,14,10,3,1,49%,51%,45%,8,55%,Civitas Metropolitan Stadium
 Quarter-finals second leg ,14-04-22,FALSE,FALSE,FALSE,Liverpool,Benfica,3,3,67%,33%,17,6,6,4,38%,62%,45%,9,55%,Anfield
 Quarter-finals second leg ,13-04-22,FALSE,FALSE,FALSE,Real Madrid,Chelsea,2,3,43%,57%,10,28,4,7,37%,63%,40%,4,60%,Santiago Bernabeu
 Quarter-finals second leg ,13-04-22,FALSE,FALSE,FALSE,Bayern,Villarreal,1,1,68%,32%,23,4,4,1,38%,62%,38%,7,62%,Allianz Arena
 Quarter-finals first leg ,07-04-22,FALSE,FALSE,FALSE,Villarreal,Bayern,1,0,38%,62%,12,22,1,4,38%,62%,47%,5,53%,El Madrigal
 Quarter-finals first leg ,07-04-22,FALSE,FALSE,FALSE,Chelsea,Real Madrid,1,3,58%,42%,20,8,5,5,42%,58%,45%,7,55%,Stamford Bridge
 Quarter-finals first leg ,06-04-22,FALSE,FALSE,FALSE,Benfica,Liverpool,1,3,34%,66%,9,17,3,8,43%,57%,36%,6,64%,Estádio do Sport Lisboa e Benfica
 Quarter-finals first leg ,06-04-22,FALSE,FALSE,FALSE,Man City,Atlético de Madrid,1,0,71%,29%,15,0,2,0,37%,63%,43%,10,57%,Etihad
