STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Dinamo Zagreb,Chelsea,1,0,31%,69%,6,15,3,3,44%,56%,49%,10,51%,Maksimir
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Salzburg,AC Milan,1,1,34%,66%,16,14,4,3,38%,62%,41%,9,59%,Red Bull Arena
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Celtic,Real Madrid,0,3,35%,65%,10,12,4,6,46%,54%,47%,8,53%,Celtic Park
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,RB Leipzig,Shakhtar Donetsk,1,4,68%,32%,13,5,2,4,47%,53%,49%,8,51%,Red Bull Arena
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Borussia Dortmund,København,3,0,63%,37%,15,7,4,2,49%,51%,45%,6,55%,Signal Iduna Park
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Sevilla,Manchester City,0,4,38%,62%,6,24,1,10,42%,58%,43%,2,57%,Ramón Sánchez Pizjuán
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Paris Saint-Germain,Juventus,2,1,58%,42%,15,13,6,4,36%,64%,45%,3,55%,Parc des Princes
 Group stage: Matchday 1 ,6-9-2022,FALSE,FALSE,FALSE,Benfica,Maccabi Haifa,2,0,57%,43%,14,7,5,2,46%,54%,42%,8,58%,Stadion da Luz
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Ajax,Rangers,4,0,76%,24%,17,4,9,1,47%,53%,45%,3,55%,Amsterdam Arena
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Napoli,Liverpool,4,1,38%,62%,18,15,9,7,44%,56%,45%,8,55%,San Paolo
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Atletico Madrid,Porto,2,1,54%,46%,10,17,3,3,45%,55%,38%,3,62%,Vicente Calderon
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Club Brugge,Bayer Leverkusen,1,0,47%,53%,9,14,3,3,44%,56%,43%,1,57%,Jan Breydel
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Internazionale,Bayern Munich,0,2,44%,56%,9,21,2,11,45%,55%,41%,8,59%,San Siro
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Barcelona,Viktoria Plze?,5,1,77%,23%,20,8,11,1,43%,57%,37%,10,63%,Nou Camp
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Eintracht Frankfurt,Sporting CP,0,3,43%,57%,11,8,2,5,42%,58%,38%,10,62%,Eintracht-Stadion
 Group stage: Matchday 1 ,7-9-2022,FALSE,FALSE,FALSE,Tottenham Hotspur,Marseille,2,0,49%,51%,18,9,2,1,45%,55%,44%,3,56%,Tottenham Hotspur Stadium
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Liverpool,Ajax,2,1,57%,43%,24,3,10,1,48%,52%,46%,5,54%,Anfield
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Rangers,Napoli,0,3,46%,54%,22,12,4,5,48%,52%,35%,1,65%,Ibrox Stadium
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Bayer Leverkusen,Atletico Madrid,2,0,45%,55%,18,12,5,3,42%,58%,49%,2,51%,BayArena
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Porto,Club Brugge,0,4,55%,45%,15,13,4,7,35%,65%,44%,9,56%,Estádio do Dragão
