id,year,product_name,company,country,industry_group,weight_kg,carbon_footprint_pcf,upstream_percent_total_pcf,operations_percent_total_pcf,downstream_percent_total_pcf
10056-1-2014,2014,Frosted FlakesR Cereal,Kellogg Company,United States,"Food, Beverage & Tobacco",0.75,2.0,57.5,30.0,12.5
10056-1-2015,2015,Frosted Flakes 23 oz produced in Lancaster PA one carton,Kellogg Company,United States,Food & Beverage Processing,0.75,2.0,57.5,30.0,12.5
10222-1-2013,2013,Office Chair,KNOLL INC,United States,Capital Goods,20.68,72.54,80.63,17.36,2.01
10261-1-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110.0,1488.0,30.65,5.51,63.84
10261-2-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110.0,1818.0,25.08,4.51,70.41
10261-3-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110.0,2274.0,20.05,3.61,76.34
10324-1-2016,2016,KURALON  fiber,"Kuraray Co., Ltd.",Japan,Materials,1500.0,10000.0,44.52,23.13,32.34
10418-1-2013,2013,Portland Cement,Lafarge S.A.,France,Materials,1000.0,1102.0,44.52,23.13,32.34
10661-10-2014,2014,Regular Straight 505 Jeans  Steel WaterLess,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.77,15.0,44.52,23.13,32.34
10661-10-2015,2015,Regular Straight 505 Jeans  Steel WaterLess,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.77,15.0,44.52,23.13,32.34
10661-10-2016,2016,Regular Straight 505 Jeans  Steel WaterLess,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.77,15.0,44.52,23.13,32.34
10661-11-2014,2014,501 Original Jeans  Rinse Run,Levi Strauss & Co.,United States,Consumer Durables & Apparel,1.0,15.0,44.52,23.13,32.34
10661-11-2015,2015,501 Original Jeans  Rinse Run,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",1.0,16.0,44.52,23.13,32.34
10661-1-2014,2014,501 Original Jeans  Dark Stonewash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,1.0,16.0,44.52,23.13,32.34
10661-1-2015,2015,501 Original Jeans  Dark Stonewash,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",1.0,16.0,44.52,23.13,32.34
10661-1-2016,2016,501 Original Jeans  Dark Stonewash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,1.0,16.0,44.52,23.13,32.34
10661-2-2014,2014,Slim Straight 514 Jeans  Indigo Wash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.68,8.6,44.52,23.13,32.34
10661-2-2015,2015,Slim Straight 514 Jeans  Indigo Wash,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.68,8.6,44.52,23.13,32.34
10661-2-2016,2016,Slim Straight 514 Jeans  Indigo Wash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.88,8.6,44.52,23.13,32.34
10661-3-2014,2014,Slim Straight 514 Jeans  Rigid Tank,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.68,7.7,44.52,23.13,32.34
10661-3-2015,2015,Slim Straight 514 Jeans  Rigid Tank,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.68,7.7,44.52,23.13,32.34
10661-3-2016,2016,Slim Straight 514 Jeans  Rigid Tank,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.88,7.7,44.52,23.13,32.34
10661-4-2014,2014,501 Original Jeans  Light Stonewash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,1.0,15.0,44.52,23.13,32.34
10661-4-2015,2015,501 Original Jeans  Light Stonewash,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",1.0,15.0,44.52,23.13,32.34
10661-5-2014,2014,501 Original Jeans  Medium Stonewash,Levi Strauss & Co.,United States,Consumer Durables & Apparel,1.0,16.0,44.52,23.13,32.34
10661-5-2015,2015,501 Original Jeans  Medium Stonewash,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",1.0,16.0,44.52,23.13,32.34
10661-6-2014,2014,Slim Straight 514 Jeans  Tumbled Rigid,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.68,16.0,44.52,23.13,32.34
10661-6-2015,2015,Slim Straight 514 Jeans  Tumbled Rigid,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.68,16.0,44.52,23.13,32.34
10661-7-2014,2014,Regular Straight 505 Jeans  Range WaterLess,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.77,16.0,44.52,23.13,32.34
1198-2-2014,2014,USB software,"Autodesk, Inc.",United States,Software & Services,0.01,2.29,67.61,2.22,30.17
10661-7-2015,2015,Regular Straight 505 Jeans  Range WaterLess,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.77,16.0,44.52,23.13,32.34
10661-8-2014,2014,Regular Straight 505 Jeans  Range,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.77,16.0,44.52,23.13,32.34
10661-8-2015,2015,Regular Straight 505 Jeans  Range,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.77,16.0,44.52,23.13,32.34
10661-9-2014,2014,Regular Straight 505 Jeans  House Cat,Levi Strauss & Co.,United States,Consumer Durables & Apparel,0.77,15.0,44.52,23.13,32.34
10661-9-2015,2015,Regular Straight 505 Jeans  House Cat,Levi Strauss & Co.,United States,"Textiles, Apparel, Footwear and Luxury Goods",0.77,16.0,44.52,23.13,32.34
10666-10-2014,2014,MS315DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,16.03,1616.172,44.52,23.13,32.34
10666-11-2014,2014,MS410DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,15.9,1523.19,44.52,23.13,32.34
10666-1-2014,2014,CX310DN  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,31.37,2358.38,44.52,23.13,32.34
10666-12-2014,2014,MS415DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,16.03,1524.56,44.52,23.13,32.34
10666-13-2014,2014,MS510DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,16.67,1617.69,44.52,23.13,32.34
10666-14-2014,2014,MS610DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,18.37,1978.08,44.52,23.13,32.34
10666-15-2014,2014,MS610DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,17.58,1957.73,44.52,23.13,32.34
10666-16-2014,2014,MS810DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,27.49,2106.94,44.52,23.13,32.34
10666-17-2014,2014,MS810DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,27.44,2005.36,44.52,23.13,32.34
10666-18-2014,2014,MS811DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,27.44,2387.57,44.52,23.13,32.34
10666-19-2014,2014,MS812DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,27.76,2744.39,44.52,23.13,32.34
10666-20-2014,2014,MS812DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,27.44,2747.47,44.52,23.13,32.34
10666-21-2014,2014,MX310DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,22.45,1140.41,44.52,23.13,32.34
10666-2-2014,2014,CX410DE  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,31.37,3236.35,44.52,23.13,32.34
10666-22-2014,2014,MX410DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,23.02,1498.6,44.52,23.13,32.34
10666-23-2014,2014,MX511DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,25.4,1678.97,44.52,23.13,32.34
10666-24-2014,2014,MX611DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,28.03,2132.34,44.52,23.13,32.34
10666-25-2014,2014,MX710DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,57.15,2923.11,44.52,23.13,32.34
10666-26-2014,2014,MX711DE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,57.15,3127.248,44.52,23.13,32.34
10666-27-2014,2014,MX810DFE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,118.07,2536.12,44.52,23.13,32.34
10666-28-2014,2014,MX811DFE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,118.07,2973.37,44.52,23.13,32.34
1198-2-2015,2015,USB software,"Autodesk, Inc.",United States,Software & Services,0.01,2.29,67.61,2.22,30.17
10666-29-2014,2014,MX812DFE  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,118.07,3335.99,44.52,23.13,32.34
10666-3-2014,2014,CX510DE  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,32.66,3128.864,44.52,23.13,32.34
10666-4-2014,2014,CS310DN  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,20.32,1968.62,44.52,23.13,32.34
10666-5-2014,2014,CS410DN  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,20.5,3143.478,44.52,23.13,32.34
10666-6-2014,2014,CS510DE  Color Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,20.91,3024.602,44.52,23.13,32.34
10666-7-2014,2014,M5163  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,23.7,2597.12,44.52,23.13,32.34
10666-8-2014,2014,MS310DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,15.81,1504.51,44.52,23.13,32.34
10666-9-2014,2014,MS312DN  Mono Laser Printer,"Lexmark International, Inc.",United States,Technology Hardware & Equipment,15.81,1490.36,44.52,23.13,32.34
10667-1-2014,2014,Mobile Batteries,LG Chem Ltd,South Korea,Materials,1000.0,5846.0,44.52,23.13,32.34
10667-1-2015,2015,Mobile Batteries,LG Chem Ltd,South Korea,Chemicals,1000.0,10245.0,44.52,23.13,32.34
10667-2-2013,2013,LG Chems automotive batteries are sustaining the undisputed No1 position in the world based on more than 10 years of RD capability LG Chem is equipped with solutions for all types of electrical cars Hybrid EV Pluggedin EV Battery EV based on strong product development capability and manufacturing competitiveness via mass production experience This enables LG Chem to supply battery cell pack and BMS Battery Management System to global carmakers such as GM Ford Renault HyundaiKia and Volvo LG Chem expects the increased revenue from its automotive battery business by being awarded nextgeneration projects from existing customers while strengthening strategic partnerships and securing new customers Additionally LG Chem plans to launch new products to meet customer needs in new applications such as SLI and garden tools,LG Chem Ltd,South Korea,Materials,1000.0,3197.1,44.52,23.13,32.34
10667-2-2014,2014,Automotive Batteries,LG Chem Ltd,South Korea,Materials,1000.0,3113.0,44.52,23.13,32.34
10667-2-2015,2015,Automotive Batteries,LG Chem Ltd,South Korea,Chemicals,1000.0,6309.0,44.52,23.13,32.34
10667-2-2016,2016,Automotive Battery,LG Chem Ltd,South Korea,Materials,1000.0,4286.0,44.52,23.13,32.34
10667-3-2015,2015,ABS Acrylonitrile Butadiene Styrene,LG Chem Ltd,South Korea,Chemicals,1000.0,876.0,44.52,23.13,32.34
10667-3-2016,2016,ABSAcrylonitrile Butadiene Styrene,LG Chem Ltd,South Korea,Materials,1000.0,396.0,44.52,23.13,32.34
10667-4-2016,2016,BPABisphenolA,LG Chem Ltd,South Korea,Materials,1000.0,1088.0,44.52,23.13,32.34
10667-5-2016,2016,ITNew Application Battery,LG Chem Ltd,South Korea,Materials,1000.0,10607.0,44.52,23.13,32.34
10670-1-2013,2013,LGE970,LG Electronics,South Korea,Consumer Durables & Apparel,0.15,7.0,11.28,0.01,88.7
10834-1-2015,2015,Mouse M185,Logitech International SA,Switzerland,Technology Hardware & Equipment,0.14,4.32,4.63,60.42,34.95
1085-1-2013,2013,White crystalline sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000.0,650.0,46.15,53.85,0.0
1085-1-2014,2014,Sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000.0,650.0,44.52,23.13,32.34
1085-1-2016,2016,Sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000.0,650.0,44.52,23.13,32.34
11152-1-2013,2013,grinding media cast,MAGOTTEAUX,Brazil,Materials,1500.0,1750.0,44.52,23.13,32.34
11632-1-2016,2016,IC chips of Smartphone,MediaTek,Taiwan,Semiconductors & Semiconductor Equipment,0.1,1.719,72.39,27.61,0.0
1198-1-2013,2013,1 DVD Software Package,"Autodesk, Inc.",United States,Software & Services,0.09,1.28,44.52,23.13,32.34
1198-1-2014,2014,DVD software,"Autodesk, Inc.",United States,Software & Services,0.09,1.28,44.05,11.15,44.79
1198-1-2015,2015,DVD software 1 DVD,"Autodesk, Inc.",United States,Software & Services,0.09,1.28,44.05,11.15,44.8
1198-2-2013,2013,USB Software,"Autodesk, Inc.",United States,Software & Services,0.01,2.285,75.54,2.22,22.24
1198-4-2015,2015,DVD software 2 DVDs,"Autodesk, Inc.",United States,Software & Services,0.18,1.67,43.72,17.13,39.15
12084-1-2016,2016,Filtro 26 WS,Miquel Y Costas,Spain,Materials,1.0,3.0,44.52,23.13,32.34
12117-1-2013,2013,Dell Laptop,MITIE Group,United Kingdom,Commercial & Professional Services,2.32,320.0,44.52,23.13,32.34
12117-2-2013,2013,KimberleyClark toilet tissue 10000 sheets,MITIE Group,United Kingdom,Commercial & Professional Services,4.2,20.0,44.52,23.13,32.34
12134-1-2017,2017,Paraformaldehyde,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,500.0,200.0,56.5,29.93,13.57
12134-2-2017,2017,Methacrylic acid,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,20.0,71.0,64.44,34.13,1.43
12134-3-2017,2017,Hydrogen peroxide,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,20.0,4.0,65.22,34.54,0.24
12134-4-2017,2017,Amines,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,9.0,8.0,63.68,33.73,2.6
12134-5-2017,2017,Peroxides,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,25.0,42.0,63.82,33.8,2.38
12134-6-2017,2017,Superpure hydrogen peroxide,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,17736.0,6469.0,44.52,23.13,32.34
12134-7-2017,2017,ELM,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,160.0,139.0,7.13,3.77,89.1
12134-8-2017,2017,TCDE,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,12000.0,99075.0,64.95,34.4,0.66
12289-1-2017,2017,Zinc Oxide,"Mitsui Mining & Smelting Co., Ltd.",Japan,Capital Goods,20.0,5.6724,44.52,23.13,32.34
12348-1-2013,2013,500ml Coors Light brewed in the UK steal can CO2e expressed in CO2e hl,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",100.0,31.37,44.52,23.13,32.34
12348-2-2013,2013,Carling brewed in the UK 24 440ml cans in 4 packs,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",12.03,3.02,44.52,23.13,32.34
12348-2-2014,2014,Carling brewed in the UK 24 440ml cans in 4 packs,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",12.03,3.07,44.52,23.13,32.34
12348-3-2013,2013,Carling brewed in the UK 24 568ml cans in 4 packs,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",15.53,2.06,44.52,23.13,32.34
12348-3-2014,2014,Carling brewed in the UK 24 568ml cans in 4 packs,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",15.53,2.0519,44.52,23.13,32.34
12348-4-2014,2014,Coors Light brewed in the UK 24 500ml cans in 4 packs,Molson Coors Brewing Company,United States,"Food, Beverage & Tobacco",13.67,3.732,64.93,28.58,6.49
12903-1-2015,2015,Server,NEC Corporation,Japan,Technology Hardware & Equipment,19.28,1600.0,5.4,2.06,92.54
12903-2-2015,2015,Broadband Routers,NEC Corporation,Japan,Technology Hardware & Equipment,0.82,56.0,44.52,23.13,32.34
12903-3-2015,2015,Mobile Network Equipment,NEC Corporation,Japan,Technology Hardware & Equipment,19.28,10273.0,1.83,0.7,97.48
12942-1-2013,2013,1 dl cup of spray dried soluble Nescaf coffee ready to be drunk at the consumers home,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.1,0.07,24.43,16.03,59.54
12942-1-2014,2014,Nescaf soluble coffee,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.1,0.032,44.52,23.13,32.34
12942-1-2015,2015,Nescaf soluble coffee,Nestlé,Switzerland,Food & Beverage Processing,0.1,0.032,44.52,23.13,32.34
12942-1-2016,2016,Nescaf soluble coffee,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.12,0.052,49.61,11.05,39.34
12942-2-2013,2013,EcoShape  bottle of water 05 L Serving of 500 ml of hydration to the consumer The study examines the extraction and processing of all upstream raw materials to produce the products and packaging components the manufacturing process distribution logistics product use and packaging disposal The work has been conducted using the Ecoinvent database and SimaPro software  Climate change impacts are measured in kg CO2 equivalents following the IPCCs most recent methodology  Scenario evaluations have been used to examine the importance of several variables in the product comparison These include a range of possible consumer behaviours regarding the use of the products such as conditions of refrigeration washing of glasses and disposal routes for packaging among others,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.54,0.1405,45.88,4.92,49.2
12942-2-2014,2014,EcoShape  bottle of water 05 L,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.54,0.1405,45.75,4.91,49.34
12942-2-2015,2015,EcoShape bottle of water 05 L,Nestlé,Switzerland,Food & Beverage Processing,0.54,0.1405,45.75,4.91,49.34
12942-2-2016,2016,EcoShape bottle of water 05 L,Nestlé,Switzerland,"Food, Beverage & Tobacco",0.54,0.1405,45.75,4.91,49.34
